ID ,Saldo
129291,"1,972,037.10"
129352,"192,706.96"
129353,"192,706.96"
129364,"2,710,554.31"
129369,"798,483.76"
129390,"679,209.22"
129391,"249,648.66"
129404,"239,480.38"
129893,"20,019,236.02"
129896,"643,958.48"
129897,"273,096.00"
129914,"386,715.04"
129915,"362,458.54"
129927,"142,894.82"
129928,"971,635.54"
129929,"61,341.73"
129930,"92,329.63"
129940,"1,395,691.98"
129945,"164,756.83"
129947,"255,894.74"
129953,"119,122.08"
129957,"180,512.53"
129958,"53,289.14"
129963,"275,111.38"
129964,"191,095.88"
129965,"107,571.03"
129967,"372,713.88"
129968,"351,021.92"
129970,"1,925,768.29"
129972,"318,760.59"
129975,"22,347.30"
129979,"872,181.65"
129980,"260,868.29"
129986,"433,351.07"
129987,"126,444.38"
129989,"2,149,277.07"
129990,"181,525.00"
129991,"46,732.87"
129992,"219,636.77"
129993,"297,536.84"
129999,"72,061.40"
130000,"378,216.30"
130001,"302,237.01"
130002,"487,381.65"
130003,"2,645,625.21"
130004,"728,594.26"
130006,"46,454.28"
130009,"154,915.34"
130012,"906,352.12"
130016,"121,296.03"
130018,"253,621.22"
130021,"170,840.65"
130022,"107,079.82"
130024,"408,333.89"
130025,"262,480.42"
130026,"74,132.41"
130027,"869,389.16"
130030,"172,066.11"
130032,"370,814.26"
130033,"521,730.44"
130034,"432,955.20"
130037,"255,088.03"
130038,"687,699.41"
130039,"246,966.59"
130041,"292,273.34"
130043,"113,624.95"
130058,"31,557.59"
130059,"204,865.12"
130060,"182,181.83"
130062,"178,487.58"
130063,"395,734.49"
130066,"1,734,935.87"
130067,"142,255.45"
130068,"1,132,272.45"
130070,"32,657.58"
130071,"126,318.62"
130073,"898,168.51"
130075,"36,167.77"
130076,"60,553.45"
130077,"361,641.07"
130078,"514,682.28"
130079,"315,526.93"
130081,"344,858.86"
130082,"147,426.35"
130084,"948,237.78"
130085,"162,776.00"
130086,"136,150.27"
130088,"443,330.48"
130089,"125,809.50"
130090,"79,871.94"
130092,"147,190.72"
130093,"262,874.29"
130094,"445,324.73"
130095,"183,478.61"
130096,"374,713.63"
130097,"1,315,261.29"
130103,"772,051.13"
130106,"196,400.77"
130107,"55,533.60"
130108,"855,551.72"
130113,"132,536.44"
130115,"1,586,149.53"
130117,"442,566.42"
130118,"130,156.01"
130120,"133,671.77"
130122,"592,250.47"
130124,"55,372.73"
130125,"287,369.65"
130126,"180,859.08"
130127,"101,484.34"
130128,"1,669,988.40"
130129,"415,510.35"
130130,"45,454.83"
130131,"421,197.32"
130132,"328,686.80"
130133,"101,625.72"
130134,"306,788.20"
130135,"314,355.30"
130136,"274,134.16"
130137,"238,346.66"
130139,"983,651.61"
130140,"1,712,066.74"
130141,"843,950.33"
130143,"231,439.43"
130145,"145,800.04"
130163,"248,025.29"
130164,"612,414.24"
130165,"205,574.57"
130167,"365,371.24"
130168,"215,445.14"
130170,"252,554.41"
130171,"1,618,336.97"
130172,"792,277.98"
130173,"78,125.43"
130174,"288,536.06"
130175,"282,896.20"
130176,"603,222.03"
130177,"227,608.83"
130178,"96,003.96"
130180,"484,904.71"
130181,"318,551.88"
130182,"148,145.72"
130185,"299,596.51"
130186,"255,824.92"
130187,"255,224.45"
130188,"254,297.17"
130189,"181,216.86"
130190,"1,119,266.11"
130191,"302,047.53"
130192,"489,700.68"
130193,"645,149.06"
130194,"120,479.30"
130195,"1,361,910.50"
130196,"100,454.44"
130197,"109,853.29"
130198,"629,906.37"
130199,"243,811.56"
130200,"3,170,343.69"
130201,"1,176,392.76"
130202,"2,113,699.28"
130203,"295,307.91"
130204,"224,445.45"
130205,"195,356.95"
130206,"181,203.30"
130207,"67,346.44"
130208,"1,480,532.41"
130214,"231,850.48"
130215,"124,877.63"
130218,"395,849.40"
130219,"633,149.37"
130222,"1,754,802.62"
130224,"279,768.10"
130225,"503,089.52"
130226,"243,069.12"
130227,"202,615.13"
130228,"463,982.01"
130230,"153,365.09"
130231,"186,964.77"
130232,"224,013.41"
130233,"2,736,864.43"
130234,"1,052,216.99"
130236,"158,014.56"
130237,"1,774,757.23"
130238,"321,260.89"
130239,"8,240,910.35"
130240,"375,889.43"
130241,"529,786.84"
130242,"1,364,588.68"
130243,"239,357.83"
130244,"263,945.08"
130245,"488,957.44"
130246,"697,606.61"
130248,"835,863.95"
130249,"255,652.86"
130250,"868,001.60"
130251,"1,587,385.65"
130252,"2,224,857.39"
130253,"536,123.21"
130254,"549,197.15"
130255,"549,255.19"
130256,"432,237.77"
130257,"385,375.86"
130258,"423,713.80"
130259,"317,455.74"
130262,"317,204.63"
130263,"268,138.02"
130265,"289,341.21"
130266,"757,053.01"
130267,"286,575.62"
130268,"2,584,469.79"
130269,"175,641.79"
130270,"1,618,580.17"
130271,"2,254,077.98"
130272,"2,104,847.25"
130273,"309,888.26"
130274,"198,473.58"
130275,"272,294.66"
130276,"3,246,980.13"
130277,"2,252,921.99"
130279,"310,051.64"
130281,"2,004,779.94"
130282,"1,123,816.60"
130283,"271,160.28"
130284,"285,798.31"
130285,"2,119,672.80"
130286,"299,060.66"
130287,"350,027.80"
130288,"335,904.49"
130289,"572,508.27"
130290,"221,924.50"
130291,"221,924.50"
130298,"394,495.22"
130299,"273,480.78"
130300,"784,785.47"
130301,"1,330,631.27"
130302,"513,734.75"
130306,"396,312.39"
130307,"432,138.55"
130310,"210,323.56"
130312,"305,139.14"
130314,"1,744,165.82"
130315,"878,688.76"
130317,"904,873.06"
130319,"262,315.43"
130320,"338,375.33"
130322,"456,467.57"
130327,"144,340.93"
130329,"369,063.72"
130330,"1,244,083.35"
130331,"566,408.39"
130332,"2,725,156.96"
130333,"243,232.64"
130334,"1,095,968.36"
130336,"284,679.86"
130338,"1,358,329.18"
130342,"627,035.88"
130344,"280,179.26"
130345,"282,159.55"
130346,"383,339.27"
130347,"794,889.99"
130348,"44,922.43"
130349,"383,211.64"
130350,"292,508.75"
130351,"1,095,780.16"
130352,"530,873.57"
130353,"276,475.55"
130354,"299,934.14"
130355,"428,153.88"
130357,"499,766.86"
130358,"318,456.23"
130359,"573,955.32"
130360,"209,122.16"
130361,"2,991,324.68"
130362,"1,291,653.13"
130363,"523,479.83"
130364,"393,361.15"
130365,"663,510.21"
130366,"2,149,588.11"
130367,"168,423.62"
130368,"658,924.49"
130369,"478,457.71"
130370,"150,883.46"
130371,"306,275.92"
130372,"586,985.88"
130374,"336,291.99"
130375,"184,945.20"
130376,"1,149,898.60"
130377,"445,625.03"
130378,"333,899.38"
130379,"280,953.55"
130380,"171,459.50"
130381,"283,905.30"
130382,"330,264.10"
130383,"361,454.88"
130384,"765,856.93"
130385,"1,218,212.38"
130386,"176,885.66"
130387,"176,737.50"
130388,"184,618.51"
130389,"186,576.80"
130391,"185,734.00"
130392,"184,618.51"
130393,"434,275.52"
130394,"234,957.87"
130396,"192,395.72"
130397,"342,925.78"
130398,"200,451.93"
130399,"303,780.33"
130400,"179,652.19"
130402,"194,473.24"
130403,"194,323.56"
130404,"177,350.64"
130405,"185,308.61"
130406,"161,378.94"
130407,"292,773.66"
130408,"240,256.45"
130410,"354,328.73"
130411,"276,268.33"
130412,"286,036.75"
130413,"541,137.16"
130414,"564,438.43"
130415,"2,047,509.40"
130416,"367,278.01"
130417,"287,792.87"
130418,"139,048.47"
130419,"90,377.05"
130420,"821,422.52"
130421,"812,712.74"
130422,"2,349,593.43"
130423,"147,835.01"
130424,"413,351.38"
130425,"627,759.38"
130426,"934,265.76"
130427,"461,884.66"
130428,"146,945.48"
130429,"141,593.15"
130431,"104,383.76"
130432,"431,666.46"
130433,"461,454.40"
130434,"1,130,996.97"
130435,"136,418.70"
130436,"668,989.92"
130438,"300,504.56"
130439,"944,355.95"
130441,"299,388.71"
130442,"589,350.02"
130443,"497,242.09"
130444,"107,139.86"
130445,"115,341.93"
130446,"200,991.97"
130447,"300,993.64"
130448,"1,671,312.88"
130449,"168,599.46"
130450,"661,679.03"
130451,"245,267.28"
130453,"275,508.17"
130455,"385,708.40"
130456,"1,115,334.60"
130457,"1,902,729.88"
130458,"2,077,554.56"
130459,"354,470.33"
130460,"2,182,702.59"
130461,"147,461.98"
130462,"780,484.87"
130463,"342,125.10"
130464,"557,366.68"
130465,"1,315,375.94"
130466,"324,876.54"
130467,"1,681,806.99"
130468,"233,832.89"
130469,"345,862.25"
130470,"239,493.80"
130472,"1,075,586.54"
130473,"198,780.48"
130475,"111,150.24"
130476,"182,710.41"
130479,"158,439.29"
130480,"104,371.83"
130482,"694,891.38"
130483,"115,012.95"
130484,"385,843.81"
130488,"218,744.11"
130489,"1,708,102.83"
130490,"443,591.17"
130491,"518,402.46"
130492,"1,926,778.64"
130494,"164,462.64"
130495,"738,826.39"
130496,"539,714.38"
130497,"316,295.64"
130499,"106,739.85"
130501,"392,018.76"
130502,"536,114.96"
130503,"527,835.10"
130504,"483,830.94"
130505,"1,681,539.01"
130506,"2,314,769.24"
130507,"385,615.25"
130508,"944,579.87"
130509,"234,264.05"
130510,"85,094.92"
130511,"161,873.18"
130512,"1,535,460.99"
130513,"258,886.20"
130514,"229,030.81"
130516,"275,592.21"
130517,"236,814.18"
130518,"137,086.00"
130519,"765,540.73"
130520,"335,048.75"
130521,"1,081,143.26"
130522,"161,323.51"
130523,"556,665.43"
130524,"113,526.64"
130525,"187,345.97"
130526,"187,346.17"
130527,"168,045.66"
130528,"177,755.16"
130529,"187,347.21"
130530,"175,730.11"
130531,"156,527.81"
130532,"317,881.68"
130533,"1,390,151.12"
130534,"1,750,645.45"
130535,"244,492.84"
130536,"272,672.32"
130537,"619,564.29"
130538,"109,838.69"
130539,"188,559.15"
130540,"200,355.62"
130541,"565,173.02"
130543,"169,422.95"
130544,"125,175.94"
130545,"1,171,934.57"
130546,"335,018.09"
130547,"182,228.39"
130548,"173,030.96"
130549,"182,407.16"
130550,"175,580.89"
130551,"172,166.47"
130552,"979,781.91"
130553,"381,872.22"
130554,"432,942.46"
130555,"704,792.96"
130556,"386,350.40"
130557,"184,218.55"
130558,"392,597.88"
130559,"600,726.24"
130560,"155,895.28"
130561,"384,978.10"
130562,"146,533.07"
130563,"154,854.64"
130564,"182,313.50"
130565,"169,647.78"
130566,"136,957.90"
130567,"359,681.01"
130568,"989,909.07"
130569,"286,929.97"
130570,"153,539.53"
130571,"1,544,976.17"
130572,"876,549.46"
130573,"550,049.03"
130574,"515,149.21"
130575,"214,609.24"
130576,"240,966.14"
130577,"224,626.91"
130578,"210,370.60"
130579,"274,037.32"
130580,"345,003.52"
130581,"1,335,143.28"
130582,"247,639.11"
130583,"660,728.88"
130584,"1,778,521.54"
130587,"2,370,831.30"
130588,"434,931.08"
130589,"1,887,856.34"
130590,"3,930,531.52"
130591,"84,811.94"
130592,"223,306.47"
130593,"280,842.93"
130594,"686,361.00"
130595,"333,489.84"
130596,"1,290,850.96"
130597,"112,185.79"
130598,"118,677.12"
130599,"887,604.25"
130600,"409,413.13"
130601,"228,957.13"
130602,"114,013.77"
130603,"349,497.75"
130604,"199,739.93"
130605,"166,624.22"
130606,"215,371.60"
130607,"166,457.12"
130608,"5,105,999.77"
130609,"278,323.25"
130610,"280,222.82"
130611,"251,007.84"
130612,"272,260.11"
130613,"220,627.89"
130614,"298,188.38"
130615,"388,916.94"
130616,"273,078.67"
130617,"294,382.29"
130618,"251,202.72"
130619,"1,142,596.44"
130620,"253,170.50"
130621,"294,082.54"
130622,"302,520.68"
130623,"1,156,206.66"
130624,"134,461.84"
130626,"201,989.00"
130627,"220,715.76"
130628,"441,046.77"
130629,"599,084.44"
130630,"111,767.57"
130631,"122,953.74"
130632,"874,632.29"
130633,"1,744,824.51"
130634,"764,922.94"
130635,"1,232,847.62"
130636,"1,118,421.70"
130637,"271,361.04"
130638,"423,396.52"
130639,"391,926.69"
130640,"283,122.20"
130641,"116,626.75"
130642,"111,197.94"
130643,"111,662.10"
130644,"383,907.25"
130645,"885,737.45"
130646,"383,103.20"
130647,"1,380,123.97"
130648,"437,567.49"
130649,"111,207.92"
130650,"327,868.76"
130651,"2,461,848.58"
130652,"112,484.82"
130653,"274,869.40"
130654,"404,117.58"
130655,"1,889,320.70"
130656,"112,996.85"
130657,"542,975.97"
130658,"453,211.70"
130659,"196,789.37"
130660,"199,550.05"
130661,"213,325.76"